OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,4610,6.0,38.62,80320.0,2.6,17.0,23.38,33.47,47.69,65.34,35360.0,48620.0,69620.0,99200.0,135900.0,2017
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,4610,6.0,38.62,80320.0,2.6,17.0,23.38,33.47,47.69,65.34,35360.0,48620.0,69620.0,99200.0,135900.0,2017
11-9020,Construction Managers,broad,263480,0.9,48.56,101000.0,0.4,26.35,33.4,43.93,58.45,76.71,54810.0,69470.0,91370.0,121570.0,159560.0,2017
11-9021,Construction Managers,detailed,263480,0.9,48.56,101000.0,0.4,26.35,33.4,43.93,58.45,76.71,54810.0,69470.0,91370.0,121570.0,159560.0,2017
11-9030,Education Administrators,broad,477750,0.6,45.8,95270.0,0.5,22.93,31.87,42.74,56.01,71.72,47690.0,66300.0,88890.0,116490.0,149180.0,2017
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,49130,1.7,25.74,53550.0,0.9,14.41,17.59,22.54,29.98,40.98,29980.0,36580.0,46890.0,62360.0,85240.0,2017
11-9033,"Education Administrators, Postsecondary",detailed,142160,1.2,51.77,107670.0,0.6,25.46,32.74,44.41,61.77,87.57,52960.0,68090.0,92360.0,128480.0,182150.0,2017
11-9039,"Education Administrators, All Other",detailed,36190,1.6,42.42,88240.0,0.8,20.99,28.42,39.25,52.27,66.42,43660.0,59120.0,81630.0,108720.0,138160.0,2017
11-9050,Food Service Managers,broad,208110,1.6,27.52,57250.0,0.6,14.35,18.64,25.02,33.04,43.41,29850.0,38770.0,52030.0,68720.0,90290.0,2017
11-9051,Food Service Managers,detailed,208110,1.6,27.52,57250.0,0.6,14.35,18.64,25.02,33.04,43.41,29850.0,38770.0,52030.0,68720.0,90290.0,2017
11-9060,Funeral Service Managers,broad,8350,4.0,44.76,93090.0,2.8,19.2,27.7,37.52,53.54,73.72,39940.0,57610.0,78040.0,111370.0,153340.0,2017
11-9061,Funeral Service Managers,detailed,8350,4.0,44.76,93090.0,2.8,19.2,27.7,37.52,53.54,73.72,39940.0,57610.0,78040.0,111370.0,153340.0,2017
11-9070,Gaming Managers,broad,4420,3.3,40.12,83460.0,1.1,22.13,27.42,35.06,45.9,62.27,46040.0,57040.0,72930.0,95480.0,129520.0,2017
11-9071,Gaming Managers,detailed,4420,3.3,40.12,83460.0,1.1,22.13,27.42,35.06,45.9,62.27,46040.0,57040.0,72930.0,95480.0,129520.0,2017
11-9080,Lodging Managers,broad,36610,2.4,28.67,59620.0,1.0,13.91,18.03,24.9,34.3,47.29,28930.0,37500.0,51800.0,71340.0,98370.0,2017
11-9081,Lodging Managers,detailed,36610,2.4,28.67,59620.0,1.0,13.91,18.03,24.9,34.3,47.29,28930.0,37500.0,51800.0,71340.0,98370.0,2017
11-9110,Medical and Health Services Managers,broad,346980,0.5,53.69,111680.0,0.4,28.05,36.22,47.29,62.0,84.68,58350.0,75340.0,98350.0,128960.0,176130.0,2017
11-9111,Medical and Health Services Managers,detailed,346980,0.5,53.69,111680.0,0.4,28.05,36.22,47.29,62.0,84.68,58350.0,75340.0,98350.0,128960.0,176130.0,2017
11-9130,Postmasters and Mail Superintendents,broad,13960,0.0,36.38,75660.0,0.1,30.2,31.98,35.98,40.21,44.39,62810.0,66510.0,74840.0,83630.0,92340.0,2017
11-9131,Postmasters and Mail Superintendents,detailed,13960,0.0,36.38,75660.0,0.1,30.2,31.98,35.98,40.21,44.39,62810.0,66510.0,74840.0,83630.0,92340.0,2017
11-9140,"Property, Real Estate, and Community Association Managers",broad,186720,1.2,34.79,72370.0,0.8,14.18,19.89,28.21,41.3,61.84,29500.0,41370.0,58670.0,85900.0,128630.0,2017
11-9141,"Property, Real Estate, and Community Association Managers",detailed,186720,1.2,34.79,72370.0,0.8,14.18,19.89,28.21,41.3,61.84,29500.0,41370.0,58670.0,85900.0,128630.0,2017
11-9150,Social and Community Service Managers,broad,141830,1.4,33.91,70530.0,0.6,19.1,23.94,30.82,40.63,52.88,39730.0,49800.0,64100.0,84500.0,109990.0,2017
11-9151,Social and Community Service Managers,detailed,141830,1.4,33.91,70530.0,0.6,19.1,23.94,30.82,40.63,52.88,39730.0,49800.0,64100.0,84500.0,109990.0,2017
11-9160,Emergency Management Directors,broad,9560,1.6,39.01,81140.0,1.2,18.4,24.76,34.98,49.68,68.09,38270.0,51510.0,72760.0,103340.0,141620.0,2017
11-9161,Emergency Management Directors,detailed,9560,1.6,39.01,81140.0,1.2,18.4,24.76,34.98,49.68,68.09,38270.0,51510.0,72760.0,103340.0,141620.0,2017
11-9190,Miscellaneous Managers,broad,430120,0.6,54.41,113180.0,0.3,24.89,35.85,50.77,67.06,85.0,51770.0,74570.0,105610.0,139480.0,176800.0,2017
11-9199,"Managers, All Other",detailed,430120,0.6,54.41,113180.0,0.3,24.89,35.85,50.77,67.06,85.0,51770.0,74570.0,105610.0,139480.0,176800.0,2017
13-0000,Business and Financial Operations Occupations,major,7472750,0.2,36.7,76330.0,0.2,18.12,24.25,32.55,44.22,59.13,37690.0,50450.0,67710.0,91970.0,123000.0,2017
13-1000,Business Operations Specialists,minor,4811530,0.3,35.14,73080.0,0.2,17.69,23.72,31.92,43.03,56.23,36800.0,49330.0,66390.0,89510.0,116960.0,2017
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,15450,4.1,43.69,90870.0,3.9,14.91,21.09,31.22,50.0,96.3,31020.0,43870.0,64940.0,104010.0,200310.0,2017
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,15450,4.1,43.69,90870.0,3.9,14.91,21.09,31.22,50.0,96.3,31020.0,43870.0,64940.0,104010.0,200310.0,2017
13-1020,Buyers and Purchasing Agents,detailed,413540,0.6,32.19,66960.0,0.3,17.49,22.63,29.87,39.34,49.75,36370.0,47070.0,62120.0,81830.0,103480.0,2017
13-1020,Buyers and Purchasing Agents,broad,413540,0.6,32.19,66960.0,0.3,17.49,22.63,29.87,39.34,49.75,36370.0,47070.0,62120.0,81830.0,103480.0,2017
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,298170,1.3,31.85,66250.0,0.6,18.84,23.65,31.1,38.39,46.57,39180.0,49190.0,64690.0,79850.0,96880.0,2017
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,282030,1.3,31.89,66340.0,0.6,18.72,23.58,31.2,38.47,46.67,38930.0,49040.0,64900.0,80010.0,97080.0,2017
13-1032,"Insurance Appraisers, Auto Damage",detailed,16150,4.5,31.1,64680.0,1.0,20.44,24.66,29.86,37.07,44.96,42520.0,51280.0,62100.0,77110.0,93510.0,2017
13-1040,Compliance Officers,broad,287130,0.7,34.39,71540.0,0.4,18.35,24.18,32.63,42.89,51.45,38170.0,50290.0,67870.0,89210.0,107010.0,2017
13-1041,Compliance Officers,detailed,287130,0.7,34.39,71540.0,0.4,18.35,24.18,32.63,42.89,51.45,38170.0,50290.0,67870.0,89210.0,107010.0,2017
13-1050,Cost Estimators,broad,210900,0.8,32.9,68420.0,0.3,17.79,23.42,30.34,39.58,50.97,37000.0,48710.0,63110.0,82330.0,106010.0,2017
13-1051,Cost Estimators,detailed,210900,0.8,32.9,68420.0,0.3,17.79,23.42,30.34,39.58,50.97,37000.0,48710.0,63110.0,82330.0,106010.0,2017
13-1070,Human Resources Workers,broad,633250,0.5,31.79,66120.0,0.3,16.4,21.8,29.12,38.79,50.34,34110.0,45340.0,60570.0,80690.0,104720.0,2017
13-1071,Human Resources Specialists,detailed,553950,0.5,31.84,66220.0,0.2,17.22,22.07,29.01,38.39,49.8,35810.0,45900.0,60350.0,79860.0,103570.0,2017
13-1074,Farm Labor Contractors,detailed,780,31.3,23.5,48890.0,11.3,8.96,10.26,17.15,30.6,46.02,18650.0,21330.0,35660.0,63650.0,95720.0,2017
13-1075,Labor Relations Specialists,detailed,78510,1.7,31.51,65540.0,1.5,9.05,16.88,30.38,42.44,56.0,18820.0,35120.0,63200.0,88270.0,116480.0,2017
13-1080,Logisticians,broad,159800,1.0,37.86,78740.0,0.4,21.55,27.64,35.86,46.3,57.75,44820.0,57490.0,74590.0,96310.0,120120.0,2017
13-1081,Logisticians,detailed,159800,1.0,37.86,78740.0,0.4,21.55,27.64,35.86,46.3,57.75,44820.0,57490.0,74590.0,96310.0,120120.0,2017
13-1110,Management Analysts,broad,659200,0.8,44.92,93440.0,0.4,22.66,29.62,39.64,53.17,73.18,47140.0,61610.0,82450.0,110600.0,152210.0,2017
13-1111,Management Analysts,detailed,659200,0.8,44.92,93440.0,0.4,22.66,29.62,39.64,53.17,73.18,47140.0,61610.0,82450.0,110600.0,152210.0,2017
13-1120,"Meeting, Convention, and Event Planners",broad,102420,1.5,25.3,52630.0,0.8,12.69,17.15,23.22,30.67,39.89,26390.0,35680.0,48290.0,63800.0,82980.0,2017
13-1121,"Meeting, Convention, and Event Planners",detailed,102420,1.5,25.3,52630.0,0.8,12.69,17.15,23.22,30.67,39.89,26390.0,35680.0,48290.0,63800.0,82980.0,2017
13-1130,Fundraisers,broad,72920,1.4,28.81,59930.0,0.8,15.92,20.43,26.75,35.26,45.33,33120.0,42500.0,55640.0,73350.0,94280.0,2017
13-1131,Fundraisers,detailed,72920,1.4,28.81,59930.0,0.8,15.92,20.43,26.75,35.26,45.33,33120.0,42500.0,55640.0,73350.0,94280.0,2017
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,80530,1.1,32.29,67160.0,0.4,18.68,23.31,30.14,38.5,48.94,38860.0,48490.0,62680.0,80070.0,101800.0,2017
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,80530,1.1,32.29,67160.0,0.4,18.68,23.31,30.14,38.5,48.94,38860.0,48490.0,62680.0,80070.0,101800.0,2017
13-1150,Training and Development Specialists,broad,280340,0.8,31.11,64700.0,0.3,15.94,21.22,29.02,38.65,49.2,33150.0,44140.0,60360.0,80390.0,102340.0,2017
13-1151,Training and Development Specialists,detailed,280340,0.8,31.11,64700.0,0.3,15.94,21.22,29.02,38.65,49.2,33150.0,44140.0,60360.0,80390.0,102340.0,2017
13-1160,Market Research Analysts and Marketing Specialists,broad,596450,0.8,34.35,71450.0,0.4,16.59,22.34,30.4,42.89,59.03,34510.0,46460.0,63230.0,89200.0,122770.0,2017
13-1161,Market Research Analysts and Marketing Specialists,detailed,596450,0.8,34.35,71450.0,0.4,16.59,22.34,30.4,42.89,59.03,34510.0,46460.0,63230.0,89200.0,122770.0,2017
13-1190,Miscellaneous Business Operations Specialists,broad,1001420,0.5,36.42,75740.0,0.2,18.29,24.93,33.66,44.9,57.92,38050.0,51860.0,70010.0,93380.0,120460.0,2017
13-1199,"Business Operations Specialists, All Other",detailed,1001420,0.5,36.42,75740.0,0.2,18.29,24.93,33.66,44.9,57.92,38050.0,51860.0,70010.0,93380.0,120460.0,2017
13-2000,Financial Specialists,minor,2661230,0.4,39.51,82190.0,0.3,19.08,25.27,33.71,46.38,64.46,39690.0,52560.0,70120.0,96470.0,134070.0,2017
13-2010,Accountants and Auditors,broad,1241000,0.7,37.46,77920.0,0.4,20.68,26.08,33.34,44.12,58.76,43020.0,54250.0,69350.0,91770.0,122220.0,2017
13-2011,Accountants and Auditors,detailed,1241000,0.7,37.46,77920.0,0.4,20.68,26.08,33.34,44.12,58.76,43020.0,54250.0,69350.0,91770.0,122220.0,2017
13-2020,Appraisers and Assessors of Real Estate,broad,58880,2.4,29.25,60830.0,1.2,13.67,18.89,25.97,36.65,48.9,28440.0,39280.0,54010.0,76240.0,101710.0,2017
13-2021,Appraisers and Assessors of Real Estate,detailed,58880,2.4,29.25,60830.0,1.2,13.67,18.89,25.97,36.65,48.9,28440.0,39280.0,54010.0,76240.0,101710.0,2017
13-2030,Budget Analysts,broad,54550,1.0,37.83,78680.0,0.6,23.82,28.93,36.17,45.56,54.68,49540.0,60170.0,75240.0,94770.0,113740.0,2017
13-2031,Budget Analysts,detailed,54550,1.0,37.83,78680.0,0.6,23.82,28.93,36.17,45.56,54.68,49540.0,60170.0,75240.0,94770.0,113740.0,2017
13-2040,Credit Analysts,broad,74850,1.7,39.86,82900.0,0.9,20.2,25.76,34.27,47.62,67.73,42010.0,53590.0,71290.0,99040.0,140880.0,2017
13-2041,Credit Analysts,detailed,74850,1.7,39.86,82900.0,0.9,20.2,25.76,34.27,47.62,67.73,42010.0,53590.0,71290.0,99040.0,140880.0,2017
13-2050,Financial Analysts and Advisors,broad,584940,0.9,50.27,104570.0,0.7,21.94,28.85,39.79,58.54,95.25,45630.0,60010.0,82770.0,121770.0,198120.0,2017
13-2051,Financial Analysts,detailed,294110,1.3,47.8,99430.0,0.9,24.89,30.96,40.53,55.28,79.6,51780.0,64390.0,84300.0,114980.0,165580.0,2017
13-2053,Insurance Underwriters,detailed,89910,2.3,37.34,77660.0,0.8,20.09,25.42,33.54,45.24,59.45,41800.0,52880.0,69760.0,94100.0,123660.0,2017
13-2060,Financial Examiners,broad,52580,1.8,44.12,91780.0,0.7,22.79,29.37,39.28,54.47,73.97,47400.0,61090.0,81690.0,113300.0,153850.0,2017
13-2061,Financial Examiners,detailed,52580,1.8,44.12,91780.0,0.7,22.79,29.37,39.28,54.47,73.97,47400.0,61090.0,81690.0,113300.0,153850.0,2017
13-2070,Credit Counselors and Loan Officers,broad,343150,1.0,36.03,74940.0,0.6,15.44,21.0,29.73,43.5,62.87,32120.0,43680.0,61840.0,90480.0,130770.0,2017
13-2071,Credit Counselors,detailed,35900,3.4,23.78,49460.0,1.2,14.32,17.15,21.5,27.52,36.63,29780.0,35670.0,44710.0,57240.0,76190.0,2017
13-2072,Loan Officers,detailed,307240,1.1,37.46,77920.0,0.6,15.71,21.95,31.09,45.27,65.19,32670.0,45660.0,64660.0,94150.0,135590.0,2017
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,125380,1.6,25.26,52530.0,0.9,10.9,15.22,22.52,31.81,44.38,22670.0,31650.0,46840.0,66170.0,92310.0,2017
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,56660,0.3,28.43,59140.0,0.3,15.26,19.56,25.54,35.41,48.07,31730.0,40680.0,53130.0,73650.0,99990.0,2017
13-2082,Tax Preparers,detailed,68720,3.0,22.64,47090.0,1.7,9.7,12.4,18.62,28.88,39.3,20170.0,25800.0,38730.0,60080.0,81740.0,2017
13-2090,Miscellaneous Financial Specialists,broad,125900,1.1,36.84,76630.0,0.6,18.43,24.61,33.42,44.83,57.96,38340.0,51190.0,69520.0,93240.0,120550.0,2017
13-2099,"Financial Specialists, All Other",detailed,125900,1.1,36.84,76630.0,0.6,18.43,24.61,33.42,44.83,57.96,38340.0,51190.0,69520.0,93240.0,120550.0,2017
15-0000,Computer and Mathematical Occupations,major,4261460,0.5,43.18,89810.0,0.4,20.95,29.02,40.66,54.87,69.63,43580.0,60360.0,84560.0,114130.0,144830.0,2017
15-1100,Computer Occupations,minor,4094930,0.5,43.16,89780.0,0.4,20.88,28.98,40.67,54.91,69.66,43440.0,60270.0,84580.0,114210.0,144890.0,2017
15-1110,Computer and Information Research Scientists,broad,27920,3.4,57.49,119570.0,1.4,31.51,42.67,55.06,70.02,84.99,65540.0,88760.0,114520.0,145630.0,176780.0,2017
15-1111,Computer and Information Research Scientists,detailed,27920,3.4,57.49,119570.0,1.4,31.51,42.67,55.06,70.02,84.99,65540.0,88760.0,114520.0,145630.0,176780.0,2017
15-1120,Computer and Information Analysts,broad,687210,0.9,45.1,93800.0,0.3,25.95,33.06,42.92,55.03,68.59,53980.0,68770.0,89280.0,114470.0,142670.0,2017
15-1121,Computer Systems Analysts,detailed,581960,1.0,44.59,92740.0,0.3,25.84,32.82,42.44,54.11,67.24,53750.0,68260.0,88270.0,112540.0,139850.0,2017
15-1122,Information Security Analysts,detailed,105250,2.2,47.93,99690.0,0.6,26.71,34.68,45.92,59.22,73.6,55560.0,72130.0,95510.0,123180.0,153090.0,2017
15-1130,Software Developers and Programmers,broad,1617400,1.0,49.27,102470.0,0.6,26.4,35.21,47.0,60.73,75.8,54920.0,73250.0,97770.0,126330.0,157660.0,2017
15-1131,Computer Programmers,detailed,247690,1.9,42.08,87530.0,1.0,22.64,30.22,39.54,51.24,63.72,47090.0,62860.0,82240.0,106580.0,132530.0,2017
15-1132,"Software Developers, Applications",detailed,849230,1.3,51.3,106710.0,0.9,28.79,37.36,48.94,62.0,76.97,59870.0,77710.0,101790.0,128960.0,160100.0,2017
15-1133,"Software Developers, Systems Software",detailed,394590,1.3,53.74,111780.0,0.4,31.57,40.53,51.73,65.26,78.92,65670.0,84290.0,107600.0,135740.0,164150.0,2017
15-1134,Web Developers,detailed,125890,1.3,35.63,74110.0,0.6,17.71,23.74,32.69,45.03,58.81,36830.0,49380.0,67990.0,93670.0,122320.0,2017
15-1140,Database and Systems Administrators and Network Architects,broad,646570,0.7,44.26,92070.0,0.2,24.63,31.65,41.87,55.11,68.5,51230.0,65830.0,87090.0,114620.0,142480.0,2017
15-1141,Database Administrators,detailed,113690,1.1,42.81,89050.0,0.3,23.31,30.7,41.84,54.18,63.66,48480.0,63850.0,87020.0,112700.0,132420.0,2017
15-1142,Network and Computer Systems Administrators,detailed,375040,0.8,41.51,86340.0,0.3,23.96,30.3,38.99,50.22,62.6,49830.0,63020.0,81100.0,104460.0,130200.0,2017
15-1143,Computer Network Architects,detailed,157830,1.6,51.86,107870.0,0.5,27.96,37.53,50.31,63.68,78.07,58160.0,78070.0,104650.0,132460.0,162390.0,2017
15-1150,Computer Support Specialists,broad,800010,0.7,27.53,57260.0,0.3,15.3,19.4,25.39,33.43,43.85,31820.0,40350.0,52810.0,69530.0,91220.0,2017
15-1151,Computer User Support Specialists,detailed,613780,0.7,26.03,54150.0,0.4,14.69,18.6,24.14,31.05,39.86,30550.0,38690.0,50210.0,64590.0,82900.0,2017
15-1152,Computer Network Support Specialists,detailed,186230,1.2,32.46,67510.0,0.4,17.77,22.85,29.97,39.42,50.59,36960.0,47530.0,62340.0,82000.0,105230.0,2017
15-1190,Miscellaneous Computer Occupations,broad,315830,0.9,43.79,91080.0,0.4,22.23,31.4,42.56,54.89,67.02,46240.0,65320.0,88510.0,114180.0,139390.0,2017
15-1199,"Computer Occupations, All Other",detailed,315830,0.9,43.79,91080.0,0.4,22.23,31.4,42.56,54.89,67.02,46240.0,65320.0,88510.0,114180.0,139390.0,2017
15-2000,Mathematical Science Occupations,minor,166530,1.6,43.49,90460.0,0.4,22.75,29.9,40.41,53.85,68.82,47330.0,62190.0,84060.0,112010.0,143140.0,2017
15-2010,Actuaries,broad,19210,3.8,55.21,114850.0,1.2,28.82,36.04,48.83,67.7,88.83,59950.0,74970.0,101560.0,140820.0,184770.0,2017
15-2011,Actuaries,detailed,19210,3.8,55.21,114850.0,1.2,28.82,36.04,48.83,67.7,88.83,59950.0,74970.0,101560.0,140820.0,184770.0,2017
15-2020,Mathematicians,broad,2730,4.8,50.33,104700.0,1.9,25.41,33.9,49.52,62.25,77.84,52860.0,70520.0,103010.0,129480.0,161900.0,2017
15-2021,Mathematicians,detailed,2730,4.8,50.33,104700.0,1.9,25.41,33.9,49.52,62.25,77.84,52860.0,70520.0,103010.0,129480.0,161900.0,2017
15-2030,Operations Research Analysts,broad,106050,2.2,41.59,86510.0,0.6,21.77,28.74,39.13,51.79,64.65,45270.0,59780.0,81390.0,107720.0,134470.0,2017
15-2031,Operations Research Analysts,detailed,106050,2.2,41.59,86510.0,0.6,21.77,28.74,39.13,51.79,64.65,45270.0,59780.0,81390.0,107720.0,134470.0,2017
15-2040,Statisticians,broad,36540,2.2,42.78,88980.0,0.7,24.36,30.88,40.41,52.16,64.29,50660.0,64230.0,84060.0,108500.0,133720.0,2017
15-2041,Statisticians,detailed,36540,2.2,42.78,88980.0,0.7,24.36,30.88,40.41,52.16,64.29,50660.0,64230.0,84060.0,108500.0,133720.0,2017
15-2090,Miscellaneous Mathematical Science Occupations,detailed,2000,8.9,35.42,73670.0,3.1,13.73,17.39,27.83,44.46,79.47,28550.0,36160.0,57890.0,92470.0,165290.0,2017
15-2090,Miscellaneous Mathematical Science Occupations,broad,2000,8.9,35.42,73670.0,3.1,13.73,17.39,27.83,44.46,79.47,28550.0,36160.0,57890.0,92470.0,165290.0,2017
17-0000,Architecture and Engineering Occupations,major,2516780,0.6,41.44,86190.0,0.3,20.87,28.21,38.07,51.06,65.93,43420.0,58690.0,79180.0,106200.0,137130.0,2017
17-1000,"Architects, Surveyors, and Cartographers",minor,177030,1.1,37.97,78970.0,0.7,20.06,26.24,34.63,45.72,59.22,41730.0,54580.0,72020.0,95090.0,123180.0,2017
17-1010,"Architects, Except Naval",broad,122160,1.4,40.82,84910.0,0.9,21.95,28.21,36.82,48.34,62.79,45660.0,58680.0,76590.0,100550.0,130610.0,2017
17-1011,"Architects, Except Landscape and Naval",detailed,103110,1.6,42.07,87500.0,1.0,22.83,29.11,37.72,49.36,64.71,47480.0,60550.0,78470.0,102680.0,134610.0,2017
17-1012,Landscape Architects,detailed,19040,5.0,34.08,70880.0,1.3,19.46,24.41,31.62,41.3,52.15,40480.0,50770.0,65760.0,85910.0,108470.0,2017
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,54870,1.7,31.6,65740.0,0.6,17.07,22.46,29.7,38.79,48.31,35510.0,46720.0,61770.0,80680.0,100470.0,2017
17-1021,Cartographers and Photogrammetrists,detailed,11440,2.4,32.4,67390.0,0.7,19.42,24.18,30.76,39.08,48.4,40390.0,50290.0,63990.0,81280.0,100670.0,2017
17-1022,Surveyors,detailed,43430,2.0,31.4,65300.0,0.7,16.57,21.98,29.4,38.69,48.28,34470.0,45720.0,61140.0,80480.0,100420.0,2017
17-2000,Engineers,minor,1665220,0.7,47.21,98190.0,0.3,27.06,34.14,44.34,57.36,72.49,56280.0,71010.0,92220.0,119300.0,150780.0,2017
17-2010,Aerospace Engineers,broad,65760,3.0,55.43,115300.0,0.7,34.06,42.42,54.34,67.51,77.94,70840.0,88240.0,113030.0,140420.0,162110.0,2017
17-2011,Aerospace Engineers,detailed,65760,3.0,55.43,115300.0,0.7,34.06,42.42,54.34,67.51,77.94,70840.0,88240.0,113030.0,140420.0,162110.0,2017
17-2020,Agricultural Engineers,broad,1770,7.8,37.49,77970.0,1.2,22.73,29.74,35.95,43.95,55.23,47280.0,61850.0,74780.0,91410.0,114880.0,2017
17-2021,Agricultural Engineers,detailed,1770,7.8,37.49,77970.0,1.2,22.73,29.74,35.95,43.95,55.23,47280.0,61850.0,74780.0,91410.0,114880.0,2017
17-2030,Biomedical Engineers,broad,20100,4.3,44.7,92970.0,1.0,25.04,32.47,42.33,54.32,68.56,52070.0,67540.0,88040.0,112990.0,142610.0,2017
17-2031,Biomedical Engineers,detailed,20100,4.3,44.7,92970.0,1.0,25.04,32.47,42.33,54.32,68.56,52070.0,67540.0,88040.0,112990.0,142610.0,2017
17-2040,Chemical Engineers,broad,33500,2.8,54.05,112430.0,1.5,29.92,37.99,49.12,63.0,81.29,62230.0,79030.0,102160.0,131030.0,169080.0,2017
17-2041,Chemical Engineers,detailed,33500,2.8,54.05,112430.0,1.5,29.92,37.99,49.12,63.0,81.29,62230.0,79030.0,102160.0,131030.0,169080.0,2017
17-2050,Civil Engineers,broad,298910,1.2,44.13,91790.0,0.4,26.04,31.86,40.75,52.85,66.4,54150.0,66260.0,84770.0,109930.0,138110.0,2017
17-2051,Civil Engineers,detailed,298910,1.2,44.13,91790.0,0.4,26.04,31.86,40.75,52.85,66.4,54150.0,66260.0,84770.0,109930.0,138110.0,2017
17-2060,Computer Hardware Engineers,broad,66770,4.6,57.52,119650.0,1.4,31.87,42.26,55.35,70.68,85.05,66290.0,87910.0,115120.0,147020.0,176900.0,2017
17-2061,Computer Hardware Engineers,detailed,66770,4.6,57.52,119650.0,1.4,31.87,42.26,55.35,70.68,85.05,66290.0,87910.0,115120.0,147020.0,176900.0,2017
17-2070,Electrical and Electronics Engineers,broad,318300,1.2,49.34,102620.0,0.4,29.65,36.69,47.1,59.78,74.61,61670.0,76320.0,97970.0,124350.0,155190.0,2017
17-2071,Electrical Engineers,detailed,183370,1.3,47.87,99580.0,0.4,28.97,35.77,45.7,58.2,72.28,60250.0,74400.0,95060.0,121060.0,150340.0,2017
17-2072,"Electronics Engineers, Except Computer",detailed,134930,2.4,51.33,106760.0,0.7,30.78,38.22,49.13,61.83,77.1,64030.0,79490.0,102180.0,128610.0,160360.0,2017
