OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR
15-1041,Computer Support Specialists,,493240,1.6,20.16,41920.0,0.7,10.92,14.07,18.54,24.73,32.53,22710,29270,38560.0,51440,67650,2001
15-1051,Computer Systems Analysts,,448270,3.3,30.63,63710.0,0.7,18.69,23.48,29.8,37.01,44.81,38870,48840,61990.0,76970,93200,2001
15-1061,Database Administrators,,104250,2.3,28.08,58420.0,0.6,14.75,19.34,26.37,36.1,44.37,30670,40230,54850.0,75100,92280,2001
15-1071,Network and Computer Systems Administrators,,227840,1.8,27.14,56440.0,0.5,16.26,20.37,25.85,32.84,41.3,33820,42370,53770.0,68310,85910,2001
15-1081,Network Systems and Data Communications Analysts,,126060,2.3,28.99,60300.0,0.8,16.56,21.24,27.63,35.25,44.07,34440,44170,57470.0,73320,91670,2001
15-2011,Actuaries,,13210,3.8,35.92,74720.0,1.1,18.66,23.67,32.75,46.42,63.76,38810,49240,68120.0,96540,132630,2001
15-2021,Mathematicians,,3080,6.9,35.21,73230.0,2.4,17.91,26.91,35.96,43.84,52.93,37250,55970,74790.0,91180,110100,2001
15-2031,Operations Research Analysts,,57520,4.4,28.49,59270.0,1,15.95,20.18,26.67,35.26,44,33180,41970,55470.0,73340,91520,2001
15-2041,Statisticians,,17040,5.0,27.44,57080.0,2.1,14.14,18.57,25.98,35,43.28,29400,38630,54030.0,72790,90010,2001
15-2091,Mathematical Technicians,,1720,13.0,21.35,44410.0,3.4,11.13,13.79,17.58,24.89,40.07,23150,28690,36570.0,51770,83360,2001
17-0000,Architecture and Engineering Occupations,major,2489070,0.7,27.08,56330.0,0.3,14.36,19.09,25.78,33.97,42.76,29860,39710,53630.0,70650,88950,2001
17-1011,"Architects, Except Landscape and Naval",,84980,3.9,28.65,59590.0,1.3,17.08,20.94,26.67,34.78,42.9,35520,43550,55470.0,72350,89240,2001
17-1012,Landscape Architects,,17980,7.8,24.83,51640.0,2.8,13.77,17.01,22.46,30.56,38.26,28640,35390,46710.0,63570,79580,2001
17-1021,Cartographers and Photogrammetrists,,7810,5.7,20.84,43350.0,1.3,12.05,15.06,19.95,25.88,31.75,25060,31320,41500.0,53820,66030,2001
17-1022,Surveyors,,54650,4.1,19.96,41510.0,1.2,10.45,13.73,18.87,25.01,31.66,21730,28560,39250.0,52020,65850,2001
17-2011,Aerospace Engineers,,74380,4.9,34.32,71380.0,0.8,23.46,27.79,33.83,41.05,47.7,48790,57800,70370.0,85370,99210,2001
17-2021,Agricultural Engineers,,2550,20.1,26.11,54300.0,4.2,15.83,18.79,23.59,32.83,41.57,32920,39070,49070.0,68280,86470,2001
17-2031,Biomedical Engineers,,6960,6.5,30.45,63330.0,1.5,18.29,22.73,28.75,36.75,45.21,38050,47270,59790.0,76430,94040,2001
17-2041,Chemical Engineers,,31710,4.0,34.99,72780.0,1.7,22.83,27.29,33.74,41.82,51.29,47490,56760,70180.0,86980,106680,2001
17-2051,Civil Engineers,,205370,2.0,29.33,61000.0,0.4,18.76,22.68,28.09,34.71,42.94,39010,47170,58420.0,72200,89310,2001
17-2061,Computer Hardware Engineers,,67590,5.0,35.72,74310.0,0.8,22,27.11,34.4,43.58,54.24,45760,56390,71560.0,90640,112830,2001
17-2071,Electrical Engineers,,151300,2.3,32.99,68630.0,0.5,21.16,25.78,32.16,39.95,47.32,44010,53620,66890.0,83110,98430,2001
17-2072,"Electronics Engineers, Except Computer",,123210,2.9,33.52,69710.0,0.5,21.93,26.53,32.86,40.4,48,45610,55170,68350.0,84030,99840,2001
17-2081,Environmental Engineers,,48700,3.6,30.11,62640.0,0.7,18.5,22.98,29.45,36.51,43.46,38470,47790,61260.0,75940,90390,2001
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,36420,4.5,28.41,59090.0,0.9,17.74,22.34,27.68,34.07,41.31,36900,46470,57560.0,70870,85930,2001
17-2112,Industrial Engineers,,161540,1.9,29.78,61940.0,0.4,19.13,23.72,29.22,35.25,42.66,39790,49340,60770.0,73320,88730,2001
17-2121,Marine Engineers and Naval Architects,,4860,9.7,32.18,66940.0,1.9,19.6,24.85,32.12,39.79,46.05,40780,51680,66810.0,82770,95780,2001
17-2131,Materials Engineers,,22920,3.1,30.21,62840.0,0.6,18.88,23.61,29.45,36.51,43.49,39270,49100,61260.0,75950,90460,2001
17-2141,Mechanical Engineers,,204310,2.5,30.54,63530.0,0.7,19.54,23.9,29.54,36.65,44.12,40640,49720,61440.0,76230,91770,2001
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,6090,6.7,31.43,65370.0,2.4,17.8,23.35,29.89,38.34,47.67,37030,48560,62170.0,79740,99150,2001
17-2161,Nuclear Engineers,,14180,6.6,38.56,80200.0,1.6,27.94,32.11,38.5,43.92,52.57,58120,66780,80080.0,91360,109340,2001
17-2171,Petroleum Engineers,,11420,12.0,39.33,81800.0,1.4,23.41,30.13,39.14,49.22,58.41,48690,62680,81420.0,102380,121480,2001
17-3011,Architectural and Civil Drafters,,99160,3.2,18.55,38580.0,0.7,11.71,14.39,17.79,21.45,26.73,24360,29930,37010.0,44620,55600,2001
17-3012,Electrical and Electronics Drafters,,39300,4.4,20.77,43200.0,1,12.08,15.04,19.27,25.21,32.33,25120,31290,40070.0,52430,67260,2001
17-3013,Mechanical Drafters,,69150,2.3,20.07,41750.0,0.8,12.12,15.04,19.05,24.2,29.8,25220,31290,39610.0,50350,61990,2001
17-3021,Aerospace Engineering and Operations Technicians,,15570,5.7,24.75,51470.0,1.1,15.98,19.91,24.27,28.73,34.38,33240,41420,50480.0,59770,71520,2001
17-3022,Civil Engineering Technicians,,85920,2.3,18.54,38550.0,0.7,10.93,13.88,17.98,22.5,27.16,22720,28860,37410.0,46790,56490,2001
17-3023,Electrical and Electronic Engineering Technicians,,220800,2.6,20.78,43220.0,0.7,12.8,15.98,20.26,24.95,29.34,26620,33250,42130.0,51900,61020,2001
17-3024,Electro-Mechanical Technicians,,42130,3.4,19.18,39890.0,1.3,11.45,14.63,18.34,22.3,27.65,23820,30440,38150.0,46380,57520,2001
17-3025,Environmental Engineering Technicians,,17970,4.5,18.82,39140.0,1.6,10.99,13.71,17.59,22.7,29.27,22850,28520,36590.0,47210,60880,2001
17-3026,Industrial Engineering Technicians,,59500,4.0,21.15,43980.0,1,12.89,15.6,19.7,25.51,32.62,26800,32460,40970.0,53050,67840,2001
17-3027,Mechanical Engineering Technicians,,54430,2.8,20.51,42650.0,0.9,13.13,15.89,19.67,24.34,29.34,27310,33060,40910.0,50620,61030,2001
17-3031,Surveying and Mapping Technicians,,56430,4.0,14.81,30810.0,0.8,8.81,10.72,13.56,17.98,22.68,18320,22300,28210.0,37390,47180,2001
19-0000,"Life, Physical, and Social Science Occupations",major,1067730,1.1,23.9,49710.0,0.5,11.54,15.52,21.53,29.97,40.71,24000,32280,44770.0,62340,84670,2001
19-1010,Agricultural and Food Scientists,,13470,2.9,25.15,52310.0,1.2,13.79,17.24,23.28,31.54,41.03,28690,35850,48420.0,65600,85350,2001
19-1021,Biochemists and Biophysicists,,16130,6.3,29.66,61680.0,1.7,16.31,19.97,27.45,37.7,46.98,33930,41540,57100.0,78410,97710,2001
19-1022,Microbiologists,,15520,4.6,26.2,54500.0,1.7,14.78,18.55,23.98,32.03,41.93,30740,38580,49880.0,66620,87220,2001
19-1023,Zoologists and Wildlife Biologists,,12950,7.1,22.79,47400.0,1.5,13.77,17.13,22.22,26.94,33.54,28650,35630,46210.0,56040,69760,2001
19-1031,Conservation Scientists,,12750,2.3,23.78,49460.0,0.6,14.69,18.69,23.54,27.95,33.59,30560,38870,48970.0,58130,69870,2001
19-1032,Foresters,,10480,4.1,22.65,47110.0,0.8,13.94,17.39,22.16,26.68,33.03,29000,36160,46080.0,55490,68710,2001
19-1041,Epidemiologists,,3970,33.4,26.72,55590.0,1.8,17.49,21.74,25.34,30.5,38.21,36380,45210,52710.0,63430,79470,2001
19-1042,"Medical Scientists, Except Epidemiologists",,46430,7.1,30.12,62650.0,2.8,14.22,18.96,26.9,38.56,53.73,29570,39430,55960.0,80200,111750,2001
19-2011,Astronomers,,900,7.8,36.73,76390.0,1.9,19.24,24.83,37.29,48.21,55.11,40020,51650,77570.0,100270,114630,2001
19-2012,Physicists,,10880,6.0,40.26,83750.0,2.1,23.71,31.35,40.23,50.14,59.24,49320,65210,83670.0,104280,123220,2001
19-2021,Atmospheric and Space Scientists,,6770,4.9,29.55,61470.0,1.1,15.1,20.4,29.58,37.05,44.64,31410,42430,61530.0,77070,92860,2001
19-2031,Chemists,,84870,3.4,26.86,55880.0,1.1,14.64,18.6,24.93,33.73,43.19,30450,38690,51860.0,70160,89830,2001
19-2032,Materials Scientists,,8360,15.1,31.18,64850.0,1.9,15.69,21.63,30.17,40.3,49.99,32630,45000,62750.0,83830,103980,2001
19-2041,"Environmental Scientists and Specialists, Including Health",,57430,1.9,24.38,50700.0,0.6,14.26,17.52,22.75,29.94,37.65,29660,36450,47330.0,62270,78320,2001
19-2042,"Geoscientists, Except Hydrologists and Geographers",,23030,3.8,30.83,64120.0,1.1,15.94,21.06,28.01,38.89,52.65,33150,43800,58270.0,80890,109510,2001
19-2043,Hydrologists,,7340,3.9,28.16,58570.0,1.1,17.72,21.5,27.11,33.56,41.47,36870,44730,56390.0,69800,86250,2001
19-3011,Economists,,13390,5.8,34.78,72350.0,4.3,18.12,23.84,32.24,43.55,57.51,37700,49600,67050.0,90590,119620,2001
19-3021,Market Research Analysts,,108940,2.9,27.99,58230.0,1.1,13.7,18.41,25.7,35.8,46.62,28500,38280,53450.0,74460,96980,2001
19-3022,Survey Researchers,,20690,13.9,15.7,32660.0,2.8,7.34,8.29,11.17,21.04,31.19,15260,17240,23230.0,43770,64870,2001
19-3031,"Clinical, Counseling, and School Psychologists",,95640,2.4,25.72,53500.0,1.5,14.27,18.11,24.24,31.5,39.72,29680,37660,50420.0,65520,82610,2001
19-3032,Industrial-Organizational Psychologists,,1380,14.1,33.63,69950.0,2.1,18.64,24.76,31.74,40.96,54.88,38780,51500,66010.0,85200,114160,2001
19-3041,Sociologists,,1820,7.0,27.19,56560.0,4.9,12.63,18.69,26.38,34.78,43.34,26270,38870,54860.0,72340,90140,2001
19-3051,Urban and Regional Planners,,31130,2.9,24.24,50430.0,0.9,14.88,18.34,23.33,29.08,35.69,30940,38150,48530.0,60490,74240,2001
19-3091,Anthropologists and Archeologists,,4190,6.5,20.1,41800.0,1.8,11.18,13.45,18.7,25.11,32.05,23260,27970,38890.0,52230,66670,2001
19-3092,Geographers,,750,4.6,24.1,50130.0,1.2,15.32,18.71,23.28,29.42,33.79,31870,38910,48430.0,61200,70290,2001
19-3093,Historians,,2010,6.1,21.56,44850.0,1.1,10.98,14.87,20.64,27.58,33.92,22840,30920,42930.0,57360,70550,2001
19-3094,Political Scientists,,4220,7.6,37.94,78920.0,2.6,18.95,27.81,39.11,49.48,56.08,39420,57850,81350.0,102920,116650,2001
19-4011,Agricultural and Food Science Technicians,,17310,6.2,14.3,29750.0,1.4,8.08,10.36,13.24,17.04,22.34,16810,21550,27530.0,35440,46460,2001
19-4021,Biological Technicians,,43560,3.1,16.36,34030.0,0.6,9.81,12.22,15.52,19.75,24.59,20410,25420,32280.0,41080,51160,2001
19-4031,Chemical Technicians,,71000,3.4,18.2,37850.0,0.8,10.67,13.46,17.4,22.2,27.14,22190,28000,36200.0,46170,56450,2001
19-4041,Geological and Petroleum Technicians,,11930,12.5,19.85,41300.0,2.1,9.3,14.31,18.53,24.73,30.94,19340,29760,38540.0,51440,64350,2001
19-4051,Nuclear Technicians,,5230,12.3,29.56,61490.0,2.2,18.87,23.78,28.7,34.91,43.42,39240,49470,59690.0,72610,90320,2001
19-4091,"Environmental Science and Protection Technicians, Including Health",,25750,3.0,17.62,36650.0,0.7,10.1,13.06,16.68,21.49,26.69,21020,27160,34690.0,44690,55520,2001
19-4092,Forensic Science Technicians,,6730,2.4,19.38,40300.0,0.8,11.68,14.48,18.45,23.64,28.93,24300,30110,38370.0,49180,60180,2001
19-4093,Forest and Conservation Technicians,,16430,1.7,15.44,32110.0,0.3,9.45,11.57,14.64,18.35,21.42,19660,24050,30440.0,38170,44550,2001
21-0000,Community and Social Services Occupations,major,1523890,0.8,16.44,34190.0,0.6,8.83,11.38,15.12,20.35,26.28,18370,23660,31440.0,42330,54660,2001
21-1011,Substance Abuse and Behavioral Disorder Counselors,,61580,2.5,15.09,31390.0,0.7,9.47,11.67,14.36,17.72,21.41,19700,24270,29870.0,36850,44520,2001
21-1012,"Educational, Vocational, and School Counselors",,201500,1.1,21.9,45540.0,1.7,11.98,15.88,20.9,26.88,33.32,24930,33020,43480.0,55910,69310,2001
21-1013,Marriage and Family Therapists,,20380,14.8,16.94,35230.0,4.9,9.58,12.05,15.73,20.32,26.09,19930,25060,32720.0,42260,54270,2001
21-1014,Mental Health Counselors,,72590,3.2,15.37,31970.0,0.8,9.29,11.19,13.96,18.45,23.6,19330,23270,29050.0,38370,49100,2001
21-1015,Rehabilitation Counselors,,105450,2.4,13.74,28570.0,0.9,7.9,9.6,12.31,16.42,21.93,16420,19970,25610.0,34150,45600,2001
21-1021,"Child, Family, and School Social Workers",,257080,1.4,16.91,35180.0,0.9,10.13,12.58,15.84,20.23,25.53,21070,26160,32960.0,42080,53110,2001
21-1022,Medical and Public Health Social Workers,,103490,1.7,18.29,38050.0,0.5,11.35,13.99,17.5,21.83,26.61,23600,29100,36410.0,45410,55350,2001
21-1023,Mental Health and Substance Abuse Social Workers,,85550,2.1,16.34,33980.0,0.6,9.87,12.2,15.42,19.81,24.56,20540,25380,32080.0,41200,51080,2001
21-1091,Health Educators,,43890,2.8,18.29,38040.0,0.9,10.21,12.88,16.94,22.43,28.47,21240,26790,35230.0,46650,59230,2001
21-1092,Probation Officers and Correctional Treatment Specialists,,78640,3.0,19.74,41070.0,0.9,12.35,14.83,18.64,24.14,29.42,25690,30850,38780.0,50210,61200,2001
21-1093,Social and Human Service Assistants,,283060,2.8,11.85,24660.0,0.6,7.31,8.86,11.09,13.95,17.63,15200,18420,23080.0,29020,36680,2001
21-2011,Clergy,,32940,3.8,17.46,36320.0,1.4,8.07,11.79,16.27,21.52,28.1,16790,24530,33840.0,44750,58440,2001
21-2021,"Directors, Religious Activities and Education",,12120,5.8,15.09,31400.0,2.1,7,9.8,13.18,18.82,25.7,14550,20390,27420.0,39150,53460,2001
23-0000,Legal Occupations,major,909370,1.0,33.19,69030.0,1.2,12.76,17.36,27.03,47.77,#,26550,36120,56220.0,99370,#,2001
23-1011,Lawyers,,490000,1.6,44.19,91920.0,1.3,20.67,28.99,42.67,64.2,#,43000,60290,88760.0,133530,#,2001
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",,30520,1.2,27.3,56780.0,0.5,15.59,18.83,24.14,33.05,46.31,32440,39160,50210.0,68730,96320,2001
23-1022,"Arbitrators, Mediators, and Conciliators",,5060,9.2,26.13,54340.0,4.4,10.97,15.29,22.43,34.11,50.09,22810,31790,46660.0,70940,104190,2001
23-1023,"Judges, Magistrate Judges, and Magistrates",,27890,1.7,38.24,79540.0,1.5,9.36,20.33,41.95,55.19,66.89,19470,42290,87260.0,114790,139130,2001
23-2011,Paralegals and Legal Assistants,,183550,2.9,18.86,39220.0,1.4,11.4,13.98,17.63,22.42,27.48,23720,29090,36670.0,46640,57150,2001
23-2091,Court Reporters,,15300,4.2,20.45,42530.0,2,9.42,13.62,19.43,25.53,34.07,19600,28330,40410.0,53100,70860,2001
23-2092,Law Clerks,,40340,4.9,15.52,32280.0,1.6,9.18,11.35,14.51,18.52,21.76,19100,23610,30180.0,38530,45250,2001
23-2093,"Title Examiners, Abstractors, and Searchers",,42720,2.7,17.12,35610.0,1,9.42,11.69,15.28,20.61,27.12,19590,24310,31770.0,42860,56410,2001
25-0000,"Education, Training, and Library Occupations",major,7658480,0.5,18.81,39130.0,1.1,7.68,11.46,17.41,24.14,31.94,15970,23840,36210.0,50220,66430,2001
25-1194,"Vocational Education Teachers, Postsecondary",,116890,2.7,20.05,41710.0,0.7,10.84,14.18,18.53,24.61,32.24,22550,29480,38540.0,51190,67050,2001
25-2011,"Preschool Teachers, Except Special Education",,377540,2.0,10.07,20940.0,0.7,6.33,7.37,8.96,11.58,15.61,13160,15340,18650.0,24080,32480,2001
25-3011,"Adult Literacy, Remedial Education, and Ged Teachers and Instructors",,58310,3.2,19.34,40230.0,5.2,9.59,12.59,16.93,23.22,33.42,19950,26190,35220.0,48290,69520,2001
25-3021,Self-Enrichment Education Teachers,,130440,2.5,15.47,32180.0,1,7.24,9.73,13.89,19.28,26,15050,20240,28890.0,40100,54080,2001
25-4010,"Archivists, Curators, and Museum Technicians",,19970,3.1,18.35,38160.0,1.5,9.09,12.05,16.44,22.58,30.71,18910,25070,34190.0,46960,63870,2001
25-4021,Librarians,,150280,1.7,21.04,43750.0,0.6,11.89,16.02,20.52,25.74,31.37,24730,33310,42670.0,53530,65240,2001
25-4031,Library Technicians,,108580,2.7,12.05,25060.0,0.8,6.82,8.71,11.44,14.83,17.99,14190,18120,23790.0,30850,37420,2001
25-9011,Audio-Visual Collections Specialists,,10320,14.3,16.23,33750.0,3.8,7.82,10.71,14.35,21.25,27.15,16270,22280,29840.0,44190,56480,2001
25-9021,Farm and Home Management Advisors,,12540,7.1,19.74,41060.0,1.3,9.11,13.48,19.05,25.25,31.54,18940,28040,39620.0,52530,65610,2001
